[ 00:12:49.533 -->  00:12:49.957] 3 SPEAKER_03
[ 00:12:49.957 -->  00:12:51.332] 1 SPEAKER_01
[ 00:12:51.332 -->  00:12:51.400] 4 SPEAKER_04
[ 00:12:51.570 -->  00:12:54.524] 4 SPEAKER_04
[ 00:12:55.492 -->  00:12:58.005] 4 SPEAKER_04
[ 00:12:56.935 -->  00:13:01.536] 3 SPEAKER_03
[ 00:12:59.074 -->  00:13:13.217] 4 SPEAKER_04
[ 00:13:13.217 -->  00:13:13.777] 1 SPEAKER_01
[ 00:13:13.777 -->  00:13:15.594] 4 SPEAKER_04
[ 00:13:13.811 -->  00:13:17.665] 1 SPEAKER_01
[ 00:13:16.884 -->  00:13:25.067] 4 SPEAKER_04
[ 00:13:19.363 -->  00:13:19.651] 1 SPEAKER_01
[ 00:13:25.067 -->  00:13:27.886] 3 SPEAKER_03
[ 00:13:25.101 -->  00:13:25.577] 4 SPEAKER_04
[ 00:13:27.088 -->  00:13:54.694] 4 SPEAKER_04
[ 00:13:36.171 -->  00:13:36.680] 1 SPEAKER_01
[ 00:13:54.694 -->  00:13:55.101] 1 SPEAKER_01
[ 00:13:55.101 -->  00:14:09.363] 4 SPEAKER_04
[ 00:13:55.203 -->  00:13:55.390] 1 SPEAKER_01
[ 00:14:08.225 -->  00:14:14.371] 3 SPEAKER_03
[ 00:14:14.371 -->  00:14:45.203] 4 SPEAKER_04
[ 00:14:17.580 -->  00:14:18.005] 3 SPEAKER_03
[ 00:14:18.005 -->  00:14:18.853] 2 SPEAKER_02
[ 00:14:19.651 -->  00:14:20.823] 2 SPEAKER_02
[ 00:14:44.575 -->  00:14:56.001] 3 SPEAKER_03
[ 00:14:46.612 -->  00:14:47.003] 4 SPEAKER_04
[ 00:14:49.193 -->  00:14:49.855] 4 SPEAKER_04
[ 00:14:52.928 -->  00:15:00.263] 2 SPEAKER_02
[ 00:14:56.001 -->  00:14:56.544] 4 SPEAKER_04
[ 00:14:56.544 -->  00:14:58.735] 3 SPEAKER_03
[ 00:14:59.210 -->  00:15:04.049] 4 SPEAKER_04
[ 00:15:01.706 -->  00:15:01.977] 2 SPEAKER_02
[ 00:15:03.845 -->  00:15:07.207] 2 SPEAKER_02
[ 00:15:05.967 -->  00:15:50.976] 4 SPEAKER_04
[ 00:15:08.191 -->  00:15:08.565] 2 SPEAKER_02
[ 00:15:08.565 -->  00:15:08.599] 0 SPEAKER_00
[ 00:15:08.599 -->  00:15:08.650] 2 SPEAKER_02
[ 00:15:08.650 -->  00:15:08.667] 0 SPEAKER_00
